Record Day,Location,Line transect ID,Species Recorded in order
2019-8-2,X1,X11,Rana catesbeiana
2019-8-2,X1,X11,Bufo gargarizans 
2019-8-2,X1,X11,Fejervarya multistriata
2019-8-2,X1,X11,Fejervarya multistriata
2019-8-2,X1,X11,Bufo gargarizans 
2019-8-2,X1,X11,Quasipaa boulengeri
2019-8-2,X1,X12,Fejervarya multistriata
2019-8-2,X1,X12,Fejervarya multistriata
2019-8-2,X1,X12,Fejervarya multistriata
2019-8-2,X1,X13,Rana chaochiaoensis
2019-8-2,X1,X13,Fejervarya multistriata
2019-8-2,X1,X13,Bufo gargarizans 
2019-8-2,X1,X13,Fejervarya multistriata
2019-8-2,X1,X13,Fejervarya multistriata
2019-8-2,X1,X13,Microhyla ornata
2019-8-2,X1,X14,Microhyla ornata
2019-8-2,X1,X14,Microhyla ornata
2019-8-2,X1,X14,Microhyla ornata
2019-8-2,X1,X14,Rana chaochiaoensis
2019-8-2,X1,X14,Rana chaochiaoensis
2019-8-2,X1,X14,Microhyla ornata
2019-8-2,X1,X14,Kaloula rugifera
2019-8-2,X1,X14,Kaloula rugifera
2019-8-2,X1,X14,Kaloula rugifera
2019-8-2,X1,X15,Rana chaochiaoensis
2019-8-2,X1,X15,Kaloula rugifera
2019-8-2,X1,X15,Kaloula rugifera
2019-8-2,X1,X15,Kaloula rugifera
2019-8-2,X1,X16,Pelophylax nigromaculatus
2019-8-2,X1,X16,Fejervarya multistriata
2019-8-2,X1,X16,Fejervarya multistriata
2019-8-2,X1,X16,Kaloula rugifera
2019-8-2,X1,X16,Kaloula rugifera
2019-8-2,X1,X16,Pelophylax nigromaculatus
2019-8-3,X2,X21,Fejervarya multistriata
2019-8-3,X2,X21,Hylarana guentheri
2019-8-3,X2,X21,Pelophylax nigromaculatus
2019-8-3,X2,X21,Hylarana guentheri
2019-8-3,X2,X21,Fejervarya multistriata
2019-8-3,X2,X21,Fejervarya multistriata
2019-8-3,X2,X21,Fejervarya multistriata
2019-8-3,X2,X21,Bufo gargarizans 
2019-8-3,X2,X21,Bufo gargarizans 
